Date;Product;Delivery Period;Price (EUR/MWh);Volume (MW)
2026-03-14;QH 47;11:30 - 11:45;104.54;0.0
2026-03-14;QH 48;11:45 - 12:00;103.61;0.0
2026-03-14;QH 49;12:00 - 12:15;105.13;0.0
2026-03-14;QH 50;12:15 - 12:30;105.07;0.0
2026-03-14;QH 51;12:30 - 12:45;101.66;0.0
2026-03-14;QH 52;12:45 - 13:00;101.86;0.0
2026-03-14;QH 53;13:00 - 13:15;103.78;0.0
2026-03-14;QH 54;13:15 - 13:30;104.87;0.0
2026-03-14;QH 55;13:30 - 13:45;105.39;0.0
2026-03-14;QH 56;13:45 - 14:00;108.67;0.0
2026-03-14;QH 57;14:00 - 14:15;101.07;0.0
2026-03-14;QH 58;14:15 - 14:30;113.99;0.0
2026-03-14;QH 59;14:30 - 14:45;120.28;0.0
2026-03-14;QH 60;14:45 - 15:00;121.54;0.0
2026-03-14;QH 61;15:00 - 15:15;120.07;0.0
2026-03-14;QH 62;15:15 - 15:30;121.31;0.0
2026-03-14;QH 63;15:30 - 15:45;131.96;0.0
2026-03-14;QH 64;15:45 - 16:00;146.66;0.0
2026-03-14;QH 65;16:00 - 16:15;116.17;0.0
2026-03-14;QH 66;16:15 - 16:30;131.88;0.0
2026-03-14;QH 67;16:30 - 16:45;142.46;0.0
2026-03-14;QH 68;16:45 - 17:00;164.09;0.0
2026-03-14;QH 69;17:00 - 17:15;140.0;0.0
2026-03-14;QH 70;17:15 - 17:30;148.41;0.0
2026-03-14;QH 71;17:30 - 17:45;172.56;0.0
2026-03-14;QH 72;17:45 - 18:00;183.43;0.0
2026-03-14;QH 73;18:00 - 18:15;183.48;0.0
